"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition"
"224724483","stage-1","MERGE","Stage 1: Mild Cognitive Impairment","<p id=""TOC_TITLE_HDR_5"" class=""content_head hl-below-section-disclaimer"">In the first stages of dementia, the signs and symptoms of the disorder may be subtle. Often, the early signs of dementia only become apparent when looking back in time. Changes in the person's brain have been happening for a long time, but the symptoms of the disorder are just beginning to show. These problems, however, are not yet severe enough to affect the person’s daily function. They may have some memory trouble and trouble finding words, but they solve everyday problems and handle their own life affairs well.</p>
<div id=""TOC_TITLE_5"" class=""content_body""></div>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-04-03 15:59:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/old-age-957492_960_720.jpg?v=1459790013","960","640","","1","true","all conditions","Tag","Equals","Stage 1"
"224942083","stage-2","MERGE","Stage 2: Early stages","<p>In the early stage of dementia, the person begins to show symptoms noticeable to the people around them. In addition, the symptoms begin to interfere with daily activities. The symptoms are dependent on the type of dementia a person has. The person may begin to have difficulty with more complicated chores and tasks around the house. The person can usually still take care of him or herself but may forget things like taking pills or doing laundry and may need prompting or reminders. </p>
<p>In Alzheimer's dementia the most prominent early symptom is memory difficulty. Others include word-finding problems and getting lost. In other types of dementia, like dementia with Lewy bodies and fronto-temporal dementia, personality changes and difficulty with organization and planning may be the first signs.</p>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-04-04 10:11:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/photo-1455723576895-6ab1d5abbcb9.jpg?v=1459789988","2048","1361","","2","true","all conditions","Tag","Equals","Stage 2"
"224942467","stage-3","MERGE","Stage 3: Middle Stages","<p id=""TOC_TITLE_HDR_7"" class=""content_head hl-below-section-disclaimer""><span>As dementia progresses, the symptoms first experienced in the early stages of the dementia generally worsen. The rate of decline is different for each person. </span></p>
<p class=""content_head hl-below-section-disclaimer""><span>Dementia sufferers may be severely impaired in solving problems, and their social judgment is usually also impaired. They cannot usually function outside their own home, and generally should not be left alone. They may be able to do simple chores around the house but not much else, and begin to require assistance for personal care and hygiene other than simple reminders.</span></p>
<div id=""TOC_TITLE_7"" class=""content_body""></div>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-04-04 10:13:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/photo-1455758190477-ac7265bc8139.jpg?v=1459790087","2048","1363","","3","true","all conditions","Tag","Equals","Stage 3"
"224942979","stage-4","MERGE","Stage 4: Late Stages","<p><span>People with late-stage dementia typically turn increasingly inward and need assistance with most or all of their personal care. Persons with dementia in the late stages usually need 24-hour supervision to ensure personal safety, as well as to ensure that basic needs are being met. If left unsupervised, a person with late-stage dementia may wander and fall, may not recognize common dangers around them such as a hot stove, may not realize that they need to use the bathroom or become unable to control their bladder or bowels (incontinent). </span></p>
<p><span>Changes in eating frequently occur, and those with late-stage dementia often need pureed diets, thickened liquids, and assistance in eating. Their appetite may decline to the point that the person does not want to eat at all. He or she may not want to get out of bed, or may need complete assistance doing so. They may no longer recognize familiar people. He or she may have significant changes in sleeping habits or have trouble sleeping at all.</span></p>
<div id=""TOC_TITLE_8"" class=""content_body""></div>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-04-04 10:15:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/negativespace1-6.jpg?v=1459790427","2048","1365","","4","true","all conditions","Tag","Equals","Stage 4"
"226051779","safety","MERGE","Safety","","Alphabet","","2025-09-17 22:24:01 -0700","true","2016-04-06 11:08:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/closed-lock.png?v=1463540254","128","128","","5","true","all conditions","Tag","Equals","Safety"
"240932035","memory-loss","MERGE","Memory Loss","<span>Memory problems are usually the most obvious symptom in people with dementia. Forgetfulness is common. As a rule, the most recent events are the first forgotten. For example, a person with early stages of dementia might go to the shops and then cannot remember what they wanted. It is also common to misplace objects. However, events of the past are often remembered well until the dementia is severe. Many people with dementia can talk about their childhood and early life. As dementia progresses, sometimes memory loss for recent events is severe and the person may appear to be living in the past. They may think of themself as young and not recognise their true age.</span>","Alphabet","","2025-09-17 22:24:01 -0700","true","2016-05-17 16:43:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/brain-2.png?v=1463529339","128","128","","6","true","any condition","Tag","Equals","Memory Loss"
"240991107","personal-hygiene","MERGE","Personal Hygiene","<span>It is quite common for people with dementia to forget about, or lose interest in, their own personal hygiene. This can include forgetting how to brush their teeth, how to shave, or even how to clip their toenails.  </span>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","7","true","any condition","Tag","Equals","Personal Hygiene"
"240991107","personal-hygiene","MERGE","Personal Hygiene","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","8","","","Tag","Equals","Toileting"
"240991107","personal-hygiene","MERGE","Personal Hygiene","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","9","","","Tag","Equals","Bathing"
"240991107","personal-hygiene","MERGE","Personal Hygiene","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","10","","","Tag","Equals","Shaving"
"240991107","personal-hygiene","MERGE","Personal Hygiene","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","11","","","Tag","Equals","Dental Care"
"240991107","personal-hygiene","MERGE","Personal Hygiene","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:37:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bubbles.png?v=1463539308","128","128","","12","","","Tag","Equals","Hair Care"
"240991555","toileting","MERGE","Toileting","","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:42:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/toilet.png?v=1463539402","128","128","","13","true","all conditions","Tag","Equals","Toileting"
"240992195","bathing","MERGE","Bathing","<p>Products related to Bathing. </p>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:45:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/bathtub.png?v=1741068377","128","128","Shower Tub Icon","14","true","all conditions","Tag","Equals","Bathing"
"240992771","shaving","MERGE","Shaving","<p>Products related to Shaving</p>","Alphabet","","2026-01-28 04:01:05 -0800","true","2016-05-17 19:47:00 -0700","global","https://cdn.shopify.com/s/files/1/1231/7650/collections/women-razor.png?v=1741068432","128","128","Razon Icon","15","true","all conditions","Tag","Equals","Shaving"
" "
"###### YOUR PLAN ALLOWS FILE SIZE TILL HERE ###### UPGRADE IF YOU NEED LARGER FILES"
