Title,Handle,Price,Image URL,Status
"Clothing Velcro Button Conversion Kit","clothing-velcro-conversion-kit-by-velcro-brands",10.99,"https://cdn.shopify.com/s/files/1/1231/7650/products/71jENr2NPuL._SL1200.jpg?v=1743351872","active"
"Anti-Strip Back-zip Jumpsuit - Adaptive Alzheimer’s and Dementia Clothing","anti-strip-back-zip-jumpsuit-adaptive-alzheimers-and-dementia-clothing",69.99,"https://cdn.shopify.com/s/files/1/1231/7650/files/Anti-Strip_Incontinence_Jumpsuit_for_Dementia_and_Alzheimer_s.png?v=1760934979","active"
"Free Exchange - Anti-Strip Jumpsuit","exchange-medium-navy-blue",0,"https://cdn.shopify.com/s/files/1/1231/7650/products/IMG_7634.jpg?v=1743351779","active"
"Free Return - Anti-Strip Jumpsuit","free-return-bear-hug-onesie",0,"https://cdn.shopify.com/s/files/1/1231/7650/files/Dementia_Aide-62_f6c2c199-7dea-4512-946a-994b9bd4a1ba.jpg?v=1743351756","active"
"Free Replacement - Anti-Strip Jumpsuit","free-replacement-bear-hug-onesie",0,"https://cdn.shopify.com/s/files/1/1231/7650/files/Dementia_Aide-62.jpg?v=1743351785","active"
"Miscellaneous Shipment","miscellaneous-shipment",0,"https://cdn.shopify.com/s/files/1/1231/7650/files/Dementia_Aide-62_f6c2c199-7dea-4512-946a-994b9bd4a1ba.jpg?v=1743351756","active"
"Donation - Anti-Strip Jumpsuit","donation-anti-strip-jumpsuit",0,"https://cdn.shopify.com/s/files/1/1231/7650/files/Dementia_Aide-62.jpg?v=1743351785","active"
"Jumpsuit - 2 for Lower Price","jumpsuit-2-for-lower-price",99.95,"","draft"
"Jumpsuit - 4 for Lower Price","jumpsuit-2-for-lower-price-1",199.9,"","draft"
"Alzheimer’s Awareness Clothing | Baseball Hat “Find a Cure” | Dementia Awareness Apparel","alzheimer-s-awareness-clothing-hat",29.99,"https://cdn.shopify.com/s/files/1/1231/7650/files/Alzheimer_s_Awareness_Hat_White.png?v=1758137047","active"
"undefined","undefined",0,"","draft"
